Date,total_record
2013/01/19,860
2013/01/20,0
2013/01/21,1
2013/01/22,1419
2013/01/23,687
2013/01/24,741
2013/01/25,917
2013/01/26,869
2013/01/27,0
2013/01/28,0
2013/01/29,1244
2013/01/30,887
2013/01/31,546
2013/02/01,1171
2013/02/02,1144
2013/02/03,0
2013/02/04,1
2013/02/05,1450
2013/02/06,1068
2013/02/07,755
2013/02/08,725
2013/02/09,754
2013/02/10,0
2013/02/11,2
2013/02/12,935
2013/02/13,1016
2013/02/14,897
2013/02/15,997
2013/02/16,934
2013/02/17,0
2013/02/18,0
2013/02/19,1223
2013/02/20,534
2013/02/21,833
2013/02/22,584
2013/02/23,1062
2013/02/24,0
2013/02/25,8
2013/02/26,1450
2013/02/27,913
2013/02/28,706
2013/03/01,967
2013/03/02,866
2013/03/03,0
2013/03/04,1
2013/03/05,1444
2013/03/06,767
2013/03/07,684
2013/03/08,1239
2013/03/09,665
2013/03/10,0
2013/03/11,1
2013/03/12,917
2013/03/13,642
2013/03/14,904
2013/03/15,780
2013/03/16,1112
2013/03/17,0
2013/03/18,9
2013/03/19,1805
2013/03/20,885
2013/03/21,708
2013/03/22,829
2013/03/23,895
2013/03/24,0
2013/03/25,5
2013/03/26,1591
2013/03/27,724
2013/03/28,869
2013/03/29,653
2013/03/30,759
2013/03/31,8
2013/04/01,281
2013/04/02,1067
2013/04/03,666
2013/04/04,766
2013/04/05,1340
2013/04/06,921
2013/04/07,0
2013/04/08,0
2013/04/09,1258
2013/04/10,946
2013/04/11,726
2013/04/12,879
2013/04/13,745
2013/04/14,0
2013/04/15,3
2013/04/16,1190
2013/04/17,796
2013/04/18,958
2013/04/19,720
2013/04/20,706
2013/04/21,1
2013/04/22,4
2013/04/23,1539
2013/04/24,760
2013/04/25,842
2013/04/26,631
2013/04/27,948
2013/04/28,3
2013/04/29,3
2013/04/30,1472
2013/05/01,969
2013/05/02,761
2013/05/03,988
2013/05/04,691
2013/05/05,5
2013/05/06,3
2013/05/07,1224
2013/05/08,902
2013/05/09,784
2013/05/10,705
2013/05/11,754
2013/05/12,0
2013/05/13,0
2013/05/14,1
2013/05/15,2203
2013/05/16,713
2013/05/17,708
2013/05/18,851
2013/05/19,0
2013/05/20,2
2013/05/21,1217
2013/05/22,966
2013/05/23,886
2013/05/24,606
2013/05/25,1101
2013/05/26,0
2013/05/27,2
2013/05/28,1108
2013/05/29,647
2013/05/30,1179
2013/05/31,702
2013/06/01,1054
2013/06/02,0
2013/06/03,1
2013/06/04,1140
2013/06/05,1307
2013/06/06,839
2013/06/07,839
2013/06/08,747
2013/06/09,0
2013/06/10,2
2013/06/11,2
2013/06/12,2140
2013/06/13,461
2013/06/14,1273
2013/06/15,810
2013/06/16,0
2013/06/17,0
2013/06/18,3
2013/06/19,2280
2013/06/20,761
2013/06/21,866
2013/06/22,692
2013/06/23,0
2013/06/24,1
2013/06/25,853
2013/06/26,1130
2013/06/27,1014
2013/06/28,644
2013/06/29,629
2013/06/30,9
2013/07/01,242
2013/07/02,0
2013/07/03,2842
2013/07/04,646
2013/07/05,1039
2013/07/06,590
2013/07/07,1
2013/07/08,0
2013/07/09,1089
2013/07/10,836
2013/07/11,972
2013/07/12,749
2013/07/13,811
2013/07/14,0
2013/07/15,4
2013/07/16,1381
2013/07/17,914
2013/07/18,2
2013/07/19,1458
2013/07/20,281
2013/07/21,2
2013/07/22,0
2013/07/23,2106
2013/07/24,839
2013/07/25,829
2013/07/26,646
2013/07/27,0
2013/07/28,746
2013/07/29,2
2013/07/30,0
2013/07/31,2350
2013/08/01,789
2013/08/02,845
2013/08/03,889
2013/08/04,0
2013/08/05,3
2013/08/06,1179
2013/08/07,1095
2013/08/08,984
2013/08/09,577
2013/08/10,804
2013/08/11,0
2013/08/12,2
2013/08/13,1624
2013/08/14,762
2013/08/15,674
2013/08/16,572
2013/08/17,0
2013/08/18,0
2013/08/19,2
2013/08/20,1
2013/08/21,3114
2013/08/22,650
2013/08/23,1
2013/08/24,1550
2013/08/25,1
2013/08/26,0
2013/08/27,1447
2013/08/28,565
2013/08/29,996
2013/08/30,522
2013/08/31,1037
2013/09/01,321
2013/09/02,1
2013/09/03,1618
2013/09/04,538
2013/09/05,634
2013/09/06,694
2013/09/07,858
2013/09/08,1
2013/09/09,0
2013/09/10,1234
2013/09/11,777
2013/09/12,946
2013/09/13,809
2013/09/14,786
2013/09/15,2
2013/09/16,7
2013/09/17,2011
2013/09/18,832
2013/09/19,1
2013/09/20,1
2013/09/21,2000
2013/09/22,0
2013/09/23,2
2013/09/24,1380
2013/09/25,5
2013/09/26,1591
2013/09/27,820
2013/09/28,805
2013/09/29,0
2013/09/30,5
2013/10/01,1581
2013/10/02,966
2013/10/03,816
2013/10/04,450
2013/10/05,757
2013/10/06,0
